ifc_name,pywr_name
Baluchaung 1,Baluchaung1
Baluchaung 2,Baluchaung2
Baluchaung 3,Baluchaung3
Baluchaung (upper),Baluchaung (Upper)
Bawgata,Bawgata
Belin,Belin
Buywa (upper),Upper Buywa
Buywa,Buywa
Chipwi,Chipwi
Chipwi Nge,Chipwi Nge
Dapein 1,Dapein 1
Dapein 2,Dapein 2
Deedoke,Deedoke
Dum Ban,Dum Ban
Gaw Lan,Gaw Lan
Hawkham (upper),Hawkham (Upper)
He Kou,He Kou
Hkankawn,Hkankawn
Pisa,Pisa
Tamanthi,Tamanthi
Hutgyi,Hutgyi
Kabaung,Kabaung
Keng Tawng,Keng Tawng
Keng Tawng (upper),Keng Tawng (Upper)
Keng Tong,Keng Tong
Keng Yang,Keng Yang
Khaunglanphu,Khaunglanphu
Kinda,Kinda
Kun Chaung,Kun Chaung
KunLong,KunLong
Kyee Ohn Kyee Wa,Kyee Ohn Kyee Wa
Lawngdin,Lawngdin
Lemro 1,Lemro_1
Laza,Laza
Lemro 2,Lemro_2
Nam Pawn (lower),Nam Pawn (Lower)
Mong Ton,MongTon
Manipur,Manipur
Mantong,ManTong
Mone Chaung,Mone Chaung
Mongwa,Mongwa
Myitsone,Myitsone
Myittha,Myittha
Myogyi,Myogyi
Nam Hka,Nam Hka
Nam Hsim,Nam Hsim
Nam Lang,Nam Lang
Nam Li,Nam Li
Nam Lin,Nam Lin
Nam Paw,Nam_Paw
Nam Pawn (upper),Nam Pawn (Upper)
Nam Tabak I,Nam Tabak I
Nam Tu,Nam Tu
Nancho,Nancho
Naopha,Naopha
Lower Paunglaung,Paung Laung (Lower)
Paung Laung (middle),Paung Laung (Middle)
Upper Paunglaung,Paung Laung (Upper)
Hpak Nam,Hpak Nam
Hpi Hseng,Hpi Hseng
Phyu Chaung,Phyu Chaung
Renan,Renan
Sedawgyi,Sedawgyi
Sedawgyi (upper),Upper Sedawgyi
Shwegyin,Shwegyin
Shweli 1,Shweli1
Shweli 2,Shweli2
Shweli 3,Shweli3
Suo Lwe,Suo Lwe
Taninthayi,Taninthayi
Thahtay,Thahtay
Thaphanseik,Thapanzeik
Thauk Ye Khat 2,Thauk Ye Khat 2
Tongxinqiao,Tongxinqiao
Wutsok,Wutsok
Yenwe,Yenwe
Yeywa,Yeywa
Yeywa (middle),Middle Yeywa
Yeywa (upper),Upper Yeywa
Ywathit,Ywathit
Zaungtu,Zaungtu
Zawgyi I,Zawgyi1
Zawgyi II,Zawgyi2
Mali,Mali
Nam Tabak II,Nam Tabak II
Mong Hsat,Mong Hsat
Tawog Hka,Tawog Hka
Ta Rung Hka,Ta Rung Hka
Ta Nai Hka,Ta Nai Hka
Thauk Ye Khat 1,Thauk Ye Khat 1
Yunzalin,Yunzalin
Lam Pha,Lam Pha
Mi Chaung,Mi_Chaung
U Yu Chaung,U Yu Chaung
Thein Kun Chaung,Thein Kun Chaung
Tha Gyet Chaung,Tha Gyet Chaung
Glohong Kra,Glohong Kra
Myet Taw Chaung,Myet Taw Chaung
Mindon,Mindon
Than Dwe,Than Dwe
Kyein Ta Li,Kyein Ta Li
Nam Hkok,Nam Hkok
Saing Din,Saing_Din
Sar Ra Wa Chaung,Sar Ra Wa Chaung
